artistName,musicName,Radiojavan_play,Radiojavan_likes,pubdate,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Sasy,Gentleman,97011366,92837,Mar 6 2019,50,0.847,0.899,-2.807,0.175,0.249,4.58E-05,0.334,0.963,128.017,186044
Mohsen Yeganeh,Behet Ghol Midam,82238605,92258,Feb 29 2016,50,0.794,0.539,-8.058,0.0458,0.505,4.01E-06,0.0685,0.709,95.031,217263
Behnam Bani,Ashegham Karde,68372476,66724,Mar 11 2017,42,0.749,0.914,-3.084,0.124,0.654,0,0.315,0.905,104.993,208515
Masih,To Ke Nisti Pisham,68357479,93209,Mar 13 2017,42,0.723,0.837,-5.779,0.168,0.356,0,0.353,0.563,142.478,185136
Masih,100 Rishteri,68074878,50030,Mar 16 2019,44,0.766,0.79,-6.484,0.202,0.0416,0,0.768,0.904,109.904,144327
Shadmehr Aghili,Door Shodi,67084762,74643,Jun 12 2019,45,0.685,0.876,-4.579,0.0869,0.608,0,0.162,0.713,89.969,192052
Hamed Homayoun,Chatre Khis,64675480,76749,Jun 15 2016,39,0.787,0.838,-6.19,0.0588,0.0475,7.59E-05,0.129,0.669,121.959,231471
Masih,Darya,64366558,73310,Feb 6 2019,44,0.589,0.603,-5.27,0.167,0.422,0,0.395,0.346,155.609,187152
Masih & Arash Ap,Bia Bazam,59912047,65190,Oct 10 2015,35,0.742,0.714,-4.365,0.31,0.532,0,0.17,0.761,85.045,203180
Ashvan,Sheyda,59474379,66437,Feb 14 2019,43,0.515,0.726,-7.189,0.158,0.00158,0,0.228,0.568,115.067,202397
Hoorosh Band,Ashegham Kardi,56918364,52447,Dec 3 2018,45,0.818,0.679,-5.528,0.11,0.189,0,0.257,0.828,101.961,182712
Behnam Bani,Akhmato Va Kon,55895816,53389,Jul 16 2017,35,0.72,0.876,-2.838,0.0844,0.375,0,0.398,0.771,105.025,197695
Masoud Sadeghloo,Akhare Shab - Remix,54785645,64703,Dec 26 2016,15,0.755,0.923,-5.478,0.142,0.0479,0,0.347,0.661,120.05,258064
Sasy,Saaghiya,52658150,44365,Mar 5 2016,42,0.794,0.781,-5.332,0.196,0.0554,0,0.881,0.508,118.031,185130
Hoorosh Band,Mah Pishooni,52153840,52915,Mar 8 2018,42,0.74,0.653,-8.043,0.0649,0.544,0,0.243,0.765,147.037,182204
Sasy,Che Pesari,51796258,35920,Aug 1 2018,28,0.791,0.947,-3.01,0.314,0.00862,0,0.39,0.821,119.993,180037
Ebi,Gheseh Eshgh,51419400,43708,Feb 19 2013,34,0.845,0.599,-11.122,0.159,0.705,0,0.151,0.922,114.898,250307
Shahab Mozaffari,Delbarito Kamtaresh Kon,51358185,64170,Dec 16 2017,39,0.845,0.732,-4.38,0.206,0.254,0,0.204,0.891,142.483,192048
Amir Tataloo,Navazesh,51195643,63929,Dec 2 2016,40,0.626,0.62,-7.82,0.373,0.767,0,0.0907,0.493,165.508,242232
Behnam Bani,Ghorse Ghamar 2,50730980,46655,Feb 4 2018,39,0.701,0.911,-2.891,0.221,0.0471,0,0.262,0.889,123.993,177908
Hoorosh Band,Be Ki Poz Midi,50710043,58160,May 31 2017,36,0.729,0.692,-5.481,0.0324,0.712,0,0.102,0.688,124.523,194273
Farzad Farzin,Asheghaneh,50537551,54159,Mar 14 2017,45,0.636,0.841,-3.656,0.0701,0.348,3.86E-06,0.148,0.707,82.499,231497
Hamid Hiraad,Shookhie Mage,49683771,73183,Oct 30 2017,41,0.688,0.785,-2.679,0.123,0.148,0,0.437,0.682,89.953,205363
Alishmas,Adat Kardam,49230680,40274,Mar 1 2016,40,0.728,0.851,-5.728,0.177,0.643,0.000242,0.243,0.958,94.92,240072
Alishmas,Adat Kardam,48022757,43621,Nov 11 2015,40,0.728,0.851,-5.728,0.177,0.643,0.000242,0.243,0.958,94.92,240072
Shadmehr Aghili,Rooze Sard,47114925,53737,Dec 9 2016,35,0.607,0.715,-5.407,0.0433,0.706,0,0.326,0.298,127.901,243592
Shadmehr Aghili,Vaghti Ke Bad Misham,46543683,48975,Mar 17 2019,43,0.689,0.758,-5.592,0.0756,0.58,0,0.318,0.586,160.47,200673
Sogand,Salam,46496875,49191,Mar 13 2019,37,0.902,0.586,-5.887,0.0736,0.114,0,0.375,0.834,121.994,195214
Aref,Ki Behtar Az To,45439789,57131,Oct 30 2016,41,0.735,0.869,-5.049,0.0737,0.546,0,0.129,0.871,109.993,235678
Reza Bahram,Az Eshgh Bego,44625653,48966,Jul 20 2018,42,0.414,0.286,-9.429,0.0328,0.94,9.12E-06,0.0913,0.474,78.091,222067
Mohammad Alizadeh,Eshgham Inrooza,44501454,55557,Nov 30 2016,4,0.699,0.746,-6.238,0.0364,0.232,3.64E-05,0.0868,0.855,124.995,217992
Hoorosh Band,Akhar Mano Be Baad Dad,44481812,38345,May 1 2017,20,0.696,0.637,-6.572,0.0386,0.82,0,0.113,0.511,110.067,212729
Sirvan Khosravi,Ghabe Akse Khali,44331585,49283,Sep 13 2016,36,0.705,0.806,-6.266,0.0855,0.00583,3.37E-05,0.25,0.706,124.001,279118
Aron Afshar,Janam Bash,43816333,48010,Feb 4 2019,46,0.706,0.838,-3.213,0.282,0.714,0,0.106,0.709,150.009,262871
Reza Bahram,Divaneh,43456471,45349,Nov 21 2018,39,0.484,0.349,-5.001,0.034,0.9,0,0.0985,0.388,78.39,244549
Macan Band,2 Deyghe Boodi,42810108,29265,Dec 27 2017,33,0.643,0.618,-6.364,0.0732,0.0338,0.00758,0.0814,0.64,125.228,147057
Behnam Bani,Che Bekhay Che Nakhay,42743979,42952,Aug 3 2017,24,0.748,0.881,-2.844,0.0895,0.499,0,0.57,0.955,112.957,222015
Evan Band,Alijenab,42267904,48651,Aug 27 2018,48,0.81,0.764,-5.334,0.0339,0.213,6.83E-06,0.341,0.678,120.074,215092
Aron Afshar,Shabe Royaei,41973756,41073,Oct 8 2019,48,0.701,0.91,-3.96,0.281,0.653,0,0.186,0.608,103.026,239491
Shadmehr Aghili,Hesse Khoobie - Original Mix,41824784,37381,Feb 4 2016,42,0.501,0.865,-4.188,0.0665,0.294,0,0.317,0.647,82.274,262896
Alireza Talischi,Akharesh Ghashange,41314014,43062,Nov 24 2018,31,0.687,0.884,-4.488,0.0666,0.34,0,0.177,0.754,141.974,163149
Shadmehr Aghili,Ghalbe Man,41242322,50486,Aug 26 2017,32,0.657,0.816,-4.366,0.0605,0.315,4.82E-06,0.358,0.439,124.998,200229
Masih & Arash Ap,Hanooz Hamoonam,40604825,38554,Jun 23 2015,31,0.76,0.807,-4.598,0.341,0.123,2.63E-05,0.341,0.569,118.008,243827
Shadmehr Aghili,Khaabe Khosh,39553515,51096,Oct 26 2019,41,0.645,0.794,-6.015,0.195,0.296,0,0.194,0.272,110.015,223713
TM Bax,Lazemami,38999404,37712,May 8 2019,42,0.657,0.795,-4.748,0.375,0.133,0,0.0666,0.905,175.29,184615
Sina Shabankhani,Amdan,38618800,40202,May 3 2017,36,0.775,0.641,-6.978,0.0561,0.779,0,0.107,0.656,134.98,192024
Homayoun Shajarian,Ahay Khabardar,38367288,56346,Mar 15 2017,18,0.418,0.221,-8.727,0.0354,0.978,4.10E-06,0.0928,0.331,151.317,263955
Shadmehr Aghili,Tajrobeh Kon,37363347,48856,Nov 14 2016,30,0.542,0.719,-6.536,0.0796,0.692,2.65E-06,0.204,0.247,131.988,219324
Masih,Nemiram,37342690,36190,Mar 16 2019,42,0.749,0.722,-5.389,0.148,0.318,0,0.314,0.724,142.452,183745
Hamed Homayoun,Sheydaei,36552950,46238,Sep 8 2016,23,0.586,0.81,-5.079,0.125,0.11,0,0.262,0.468,125.939,191136
Sasy,Ostad,36129173,33654,Jul 18 2017,35,0.809,0.764,-4.97,0.13,0.0293,0,0.31,0.579,124.925,190669
Amirabbas Golab,Gooneh,35924420,46174,Dec 12 2017,37,0.764,0.81,-5.528,0.0835,0.558,8.40E-06,0.136,0.98,164.171,180781
Shadmehr Aghili,Faghat Ba To Eshgham - Original Mix,35377413,39986,Jun 23 2016,30,0.646,0.771,-4.191,0.0375,0.0584,1.48E-05,0.161,0.504,111.024,233613
Donya,Koo Ta Biad,35132946,44152,Dec 21 2018,31,0.55,0.887,-5.097,0.377,0.219,0,0.287,0.674,158.894,174656
Alishmas,Adame Badi Naboodam,34968751,30357,Jan 4 2016,34,0.766,0.735,-6.05,0.134,0.515,0,0.247,0.603,80,270720
Sahar,Ey Vay,34756158,40835,Dec 27 2016,33,0.823,0.887,-2,0.134,0.301,0,0.361,0.823,110.084,200151
Shadmehr Aghili,Hamishegi,34715238,46441,Dec 5 2016,38,0.653,0.848,-5.742,0.0805,0.432,0,0.0861,0.615,81.97,196075
Ebi,Akharin Bar,34552971,30947,Dec 21 2014,40,0.281,0.568,-5.284,0.0397,0.744,2.83E-05,0.0811,0.409,175.539,186600
Farzad Farzin,Jazzab,34531365,30989,Mar 16 2019,41,0.76,0.823,-3.33,0.166,0.0284,0,0.312,0.927,111.04,203172
Zedbazi,Nakoni Bavar,34340640,46280,Oct 4 2012,38,0.679,0.658,-9.772,0.145,0.783,2.68E-06,0.11,0.611,94.978,319164
Mohsen Yeganeh,Vabastegi,34054872,40913,Nov 24 2016,44,0.871,0.727,-5.047,0.202,0.273,0,0.104,0.927,111.126,179487
Sasy,Doctor,33965260,38885,Mar 4 2020,47,0.851,0.794,-3.304,0.0512,0.171,2.89E-06,0.0335,0.861,120.949,206107
Amir Tataloo,Mr. Lodeh,33945088,36679,Apr 25 2015,43,0.778,0.822,-4.638,0.229,0.427,0,0.131,0.767,100.958,549048
Mohammad Alizadeh,Hamine Ke Hast - Original Mix,33839311,36298,May 20 2015,19,0.791,0.876,-5.288,0.0509,0.0208,2.63E-05,0.0786,0.957,125.98,208170
Behnam Bani,Bassame,33838296,41539,Jun 27 2017,24,0.575,0.862,-2.787,0.0728,0.642,0,0.352,0.839,84.95,212904
Hamid Hiraad,Nimeye Janam,33426282,49566,Dec 20 2017,39,0.443,0.767,-2.921,0.0823,0.409,0,0.14,0.42,150.218,192013
Alishmas,Madyoonam Be To,33276659,47810,Jul 11 2016,33,0.888,0.79,-5.145,0.0507,0.0419,0,0.0472,0.647,119.991,244080
Alireza Talischi,Divooneye Doos Dashtani,32969111,36060,Aug 28 2018,35,0.783,0.889,-1.966,0.0997,0.352,0,0.257,0.815,108.983,199309
Mohsen Yeganeh,Darkam Kon,32636068,30914,May 10 2015,37,0.819,0.71,-6.496,0.116,0.152,0,0.0687,0.708,119.996,227170
Satin,Aziz Joon,32606929,32087,Feb 25 2019,41,0.928,0.606,-6.156,0.123,0.0151,0,0.0861,0.474,106.996,196520
Black Cats,Dafi Joon (feat. Edvin),32585609,34321,Apr 27 2016,38,0.813,0.94,-3.945,0.075,0.0108,1.13E-05,0.324,0.909,125.991,217170
Puzzle Band,Maghrooro Ashegh - Remix,32552602,39705,Jun 30 2018,25,0.678,0.74,-7.722,0.0273,0.555,0.24,0.0984,0.568,99.987,235102
Masoud Sadeghloo,Dorehami,32412562,41527,Nov 23 2016,31,0.516,0.506,-4.529,0.0502,0.801,0,0.189,0.94,87.944,109166
Zedbazi,Nakoni Bavar,32234497,48059,Jan 14 2015,38,0.679,0.658,-9.772,0.145,0.783,2.68E-06,0.11,0.611,94.978,319164
Ehaam,Bezan Baran,32180895,43458,Feb 11 2018,39,0.719,0.651,-6.499,0.0698,0.186,0,0.607,0.83,99.988,253571
Sahar,Che Haliye,32048619,33559,May 28 2018,32,0.667,0.892,-3.37,0.179,0.279,0,0.135,0.899,109.779,242705
Zedbazi,Nakoni Bavar,31033458,39750,Jul 12 2017,38,0.679,0.658,-9.772,0.145,0.783,2.68E-06,0.11,0.611,94.978,319164
Zakhmi,Bomb,30828750,31948,Feb 11 2019,31,0.596,0.689,-4.142,0.349,0.174,0,0.563,0.515,179.867,197539
Mehdi Jahani,Bekhab Donya,30808787,36239,Feb 13 2019,42,0.876,0.521,-6.602,0.093,0.343,0.00222,0.0905,0.524,104.007,225037
TM Bax,Boale,30779606,30990,Nov 2 2018,40,0.812,0.671,-4.483,0.171,0.204,0,0.224,0.67,96.115,245055
Mohsen Yeganeh,Daryabam,30749469,30631,Dec 14 2018,5,0.71,0.804,-6.778,0.208,0.214,0,0.4,0.781,114.998,181574
Behnam Bani,Alagheye Khas,30735337,28362,Jul 26 2016,18,0.763,0.834,-5.435,0.0807,0.351,0.000574,0.185,0.878,119.991,216552
Sasy,Salam,30548124,35036,Sep 7 2016,37,0.768,0.822,-4.044,0.19,0.0103,0,0.347,0.52,109.927,183719
Koorosh,Yebaram Man,30426237,27629,Jun 4 2019,37,0.707,0.495,-9.132,0.0876,0.483,6.54E-06,0.112,0.207,89.974,325382
Mohsen Chavoshi,Dele Man,30355672,35885,Jun 5 2016,41,0.714,0.924,-3.663,0.235,0.309,0,0.487,0.84,124.996,236173
Masih & Arash Ap,Be Hame Begoo,30351567,29498,Jan 1 2016,28,0.662,0.761,-4.023,0.198,0.281,0,0.583,0.479,120.018,201874
Alireza Talischi,Sakhtgir,30318277,29582,Jun 20 2019,34,0.636,0.87,-3.733,0.222,0.0887,0,0.215,0.886,105.052,197773
Mohsen Chavoshi,Bist Hezar Arezoo,30075816,38409,May 18 2017,39,0.673,0.821,-8.142,0.409,0.549,4.17E-05,0.302,0.781,187.368,190015
Hamed Homayoun,Chenin Konam Chenan Konam,30071679,34457,Dec 20 2016,34,0.867,0.837,-4.913,0.159,0.0127,0,0.402,0.806,124.988,211383
Hamid Sefat,Alo Khoda,30042059,41026,Mar 8 2015,41,0.709,0.82,-5.313,0.188,0.215,0,0.28,0.465,112.949,295053
Sahar,Ey Jan,29858402,34426,Jul 11 2017,27,0.791,0.838,-2.837,0.185,0.161,0,0.311,0.969,114.897,205036
Yas,Bad Shodam,29711513,59656,Mar 12 2015,34,0.608,0.639,-9.702,0.312,0.889,0.0151,0.117,0.436,93.563,334498
Shahab Tiam,Bi Hashiyeh,29688711,31145,May 27 2017,34,0.804,0.708,-5.293,0.0893,0.285,0,0.0859,0.592,130.02,213231
Behnam Bani,Ghorse Ghamar 2,29665797,26606,Feb 6 2020,39,0.701,0.911,-2.891,0.221,0.0471,0,0.262,0.889,123.993,177908
Shadmehr Aghili,Kooh,29312721,42880,Nov 20 2018,28,0.71,0.747,-5.314,0.0643,0.766,1.21E-06,0.181,0.653,135.993,231680
Arash,Tekoon Bede,29283864,30644,Nov 3 2014,32,0.85,0.72,-5.364,0.161,0.417,0,0.0861,0.921,120.091,159267
Moein,Tavalod (Andy),29248730,25084,Jan 27 2013,28,0.627,0.863,-4.505,0.0365,0.044,0,0.134,0.639,124.192,301613
Sahar,Lajbaz,29229237,30485,Mar 18 2019,27,0.874,0.863,-2.889,0.248,0.168,6.06E-06,0.0552,0.704,128.091,174133
Sirvan Khosravi,Soojehat Tekrarie,29219859,38070,Jun 29 2016,33,0.77,0.86,-5.49,0.0365,0.00473,8.62E-06,0.134,0.932,122.991,302733
Ebi,Delbar,29205134,22742,Jan 27 2013,27,0.491,0.888,-8.421,0.245,0.474,0,0.26,0.757,153.741,269547
Sami Beigi,Fada Sham,29165926,37473,Mar 25 2015,42,0.472,0.699,-5.821,0.138,0.438,0,0.0938,0.788,146.906,214831
Aron Afshar,Tabibe Maher,29165671,30937,Mar 2 2019,45,0.535,0.922,-3.479,0.382,0.146,0,0.119,0.689,172.603,205897
Sogand,Khodaya,29148540,43240,Sep 3 2018,36,0.781,0.528,-10.414,0.0581,0.485,5.31E-05,0.105,0.438,114.977,219155
Anita,Bargashtam,29137687,37045,Jan 23 2019,28,0.676,0.783,-3.65,0.0422,0.189,0,0.122,0.473,128.056,184295
Ali Yasini,Harjaye Shahr,29108816,29497,May 31 2019,33,0.679,0.65,-6.019,0.238,0.364,0,0.506,0.698,90.065,192014
Shadmehr Aghili,Bi Ehsas,28927057,39354,Apr 15 2020,47,0.656,0.804,-4.859,0.0797,0.438,0,0.189,0.658,116.915,192888
Behnam Bani,Faghat Boro,28922676,25470,Jun 13 2019,37,0.445,0.693,-5.346,0.162,0.731,0,0.0887,0.714,77.986,231672
Behnam Bani,Toyi Entekhabam,28847172,30748,Feb 2 2019,39,0.714,0.653,-4.157,0.164,0.573,0,0.275,0.89,90,181392
Behnam Bani,In Eshgheh,28735428,25432,Oct 31 2019,35,0.726,0.823,-3.71,0.205,0.043,0,0.93,0.962,111.102,198973
Hoorosh Band,Faseleh Na,28360697,33661,Aug 21 2017,32,0.756,0.857,-5.802,0.247,0.2,0,0.21,0.638,116.934,184621
Mohammad Alizadeh,Zendegi - Dj Momtaz Remix,28314503,35000,Mar 10 2018,11,0.605,0.866,-4.894,0.128,0.0348,0.000433,0.131,0.559,179.858,168021
TM Bax,Sansoor,28262663,30080,Apr 4 2016,35,0.862,0.736,-7.704,0.105,0.348,0.0296,0.0973,0.724,114.978,254041
Babak Jahanbakhsh,Ey Vaaay,28210575,28927,Jul 30 2018,38,0.647,0.864,-5.714,0.071,0.235,0,0.276,0.603,106.04,220801
Xaniar Khosravi,Bedoone To,28130847,46636,Jan 4 2013,30,0.605,0.536,-6.959,0.0352,0.324,1.98E-06,0.135,0.404,139.799,297170
Sogand,Romantic,27958167,33854,Feb 26 2020,41,0.806,0.892,-4.497,0.0601,0.416,0,0.241,0.886,111.964,190225
Babak Jahanbakhsh,Mano Negah Kon,27954805,34048,Jul 11 2012,40,0.68,0.892,-4.074,0.0414,0.341,0,0.314,0.626,100.049,209020
Amirabbas Golab,Bazam Raft,27914763,34903,Feb 15 2018,32,0.869,0.722,-5.73,0.241,0.467,0.000112,0.107,0.71,119.993,191000
Siavash Ghomayshi,Alaki,27886771,26553,Feb 4 2010,38,0.73,0.565,-8.767,0.0278,0.216,0,0.479,0.583,134.985,176107
Satin,Zibaye Mani,27854137,35926,Jul 23 2019,42,0.759,0.813,-5.511,0.0446,0.0147,0,0.171,0.731,107.032,183825
TM Bax,Kiki,27853080,27236,Oct 23 2019,43,0.861,0.784,-3.909,0.351,0.359,3.12E-06,0.0759,0.913,117.93,175543
Reza Bahram,Gole Eshgh,27633787,22891,Aug 13 2019,46,0.401,0.813,-3.49,0.329,0.721,0,0.112,0.51,154.455,217928
Ehaam,Taab o Tab,27610211,30343,Jun 16 2019,39,0.756,0.864,-4.523,0.289,0.434,0,0.358,0.693,114.925,208771
Shadmehr Aghili,Taghdir,27527864,34771,Jan 24 2013,44,0.59,0.638,-6.663,0.0393,0.595,0,0.0773,0.31,113.985,284746
Sepehr Khalse,"Siah Mese Barf (feat. Alireza JJ, Sijal & Behzad Leito)",27273886,35112,Jul 12 2014,32,0.686,0.778,-3.156,0.258,0.454,0,0.0995,0.588,158.023,270420
Shadmehr Aghili,Sarnevesht,27022249,41636,Oct 30 2017,27,0.499,0.509,-6.019,0.0371,0.764,0,0.2,0.232,127.723,240980
Sirvan Khosravi,Bargard,26991422,35585,Feb 26 2017,34,0.782,0.801,-5.426,0.0768,0.0978,0.00014,0.121,0.656,122.01,303204
Sami Beigi,Ey Joonam,26961661,41680,Mar 18 2012,48,0.507,0.845,-2.977,0.0763,0.314,1.34E-06,0.0903,0.64,104.947,210442
Sirvan Khosravi,Dorost Nemisham - Xaniar Remix,26946849,22972,May 30 2019,30,0.853,0.689,-6.89,0.0615,0.0125,0.00494,0.108,0.881,122.013,266317
Hayedeh,Shanehayat,26874341,20276,Jan 27 2013,27,0.247,0.238,-17.103,0.0595,0.912,0.00753,0.24,0.153,175.953,531123
Reza Bahram,Bimar,26629669,23671,Aug 22 2018,36,0.524,0.554,-4.204,0.0368,0.44,0,0.384,0.218,74.864,201661
Faramarz Aslani,Age Ye Rooz,26609294,30219,Aug 25 2011,44,0.472,0.317,-14.995,0.0388,0.835,0,0.131,0.715,87.5,240160
Farzad Farzin,Kharabesh Kardi,26361433,30402,Jan 29 2019,41,0.614,0.669,-6.409,0.0421,0.219,3.06E-05,0.371,0.389,102.974,244115
Shadmehr Aghili,Mitarsam,26329256,34488,Jul 25 2019,28,0.69,0.722,-6.591,0.0409,0.736,1.73E-05,0.0958,0.419,119.991,228702
Sasy,Behtarin Kado,26312505,25645,Dec 16 2016,36,0.737,0.774,-6.024,0.206,0.118,0,0.372,0.429,121.934,196780
Sirvan Khosravi,Doost Daram Zendegiro - Unplugged (Tehran 2015),26269618,41740,May 16 2013,28,0.687,0.77,-7.1,0.0309,0.15,4.47E-06,0.718,0.504,129.997,317049
Shadmehr Aghili,To Bi Man,26259758,38942,Dec 22 2017,39,0.689,0.763,-5.217,0.128,0.733,0,0.0984,0.434,93.087,230060
Epicure,Tekoon Bedeh,26163084,35824,Mar 29 2017,26,0.888,0.808,-7.739,0.241,0.212,1.13E-06,0.617,0.66,134.005,306287
Zedbazi,Nakoni Bavar,26091329,32157,Apr 24 2019,38,0.679,0.658,-9.772,0.145,0.783,2.68E-06,0.11,0.611,94.978,319164
Wantons,Doe Sob,26025541,30458,Apr 21 2017,34,0.682,0.789,-7.985,0.0914,0.195,6.03E-05,0.159,0.49,114.017,280059
Sogand,The Lom,25983072,40564,Oct 2 2014,37,0.854,0.624,-9.001,0.188,0.652,4.32E-05,0.344,0.59,104.985,215040
Ehaam,Cheshmanat Arezoost,25928961,34599,Jul 21 2018,37,0.731,0.767,-6.213,0.204,0.0474,0.00129,0.179,0.443,108.018,251820
Hoorosh Band,Leili Bi Eshgh,25877672,29305,Jan 19 2018,28,0.673,0.737,-7.536,0.0451,0.136,0,0.146,0.291,112.013,218241
Behnam Bani,Hanooz Dooset Daram,25680581,31069,Aug 19 2018,27,0.722,0.792,-3.666,0.0914,0.67,0,0.189,0.73,109.995,198609
Behnam Bani,Hame Donyam,25650717,29091,May 12 2017,22,0.75,0.788,-3.972,0.0491,0.72,0,0.429,0.958,103.012,214988
Eddie Attar,Delo Bede,25484799,24191,Aug 30 2018,33,0.823,0.835,-4.372,0.222,0.14,0,0.157,0.939,114.997,180768
Farzad Farokh,Havaye To (Dynatonic Remix),25447505,41092,Sep 14 2017,12,0.841,0.61,-8.039,0.261,0.527,0.000458,0.101,0.943,105.006,205767
poobon,Tigh,25381843,28419,Nov 29 2019,43,0.619,0.589,-8.368,0.112,0.25,2.26E-05,0.114,0.1,159.936,168648
Sasy,Noosh,25269816,28438,Mar 8 2017,29,0.757,0.882,-4.014,0.175,0.00932,0,0.394,0.581,125.978,190329
Shadmehr Aghili,Aghl O Eshgh,25080653,20855,Dec 9 2016,29,0.719,0.866,-3.984,0.0589,0.229,0,0.0611,0.56,130.016,218802
Shadmehr Aghili,Eteraf,25064369,24945,Feb 20 2018,26,0.515,0.624,-4.35,0.0338,0.808,0,0.0947,0.455,135.942,204173
Sirvan Khosravi,Tanha Nazar,25054158,31468,Jul 5 2019,44,0.705,0.72,-6.875,0.0349,0.0237,0.00012,0.671,0.69,110.989,235128
Sasy,Hame Bada,25053185,30868,Dec 13 2017,34,0.69,0.874,-4.359,0.393,0.0979,0,0.76,0.309,123.969,186907
Behnam Bani,Chi Begam,25013928,27271,Feb 3 2017,22,0.849,0.807,-4.268,0.125,0.326,0,0.269,0.961,119.958,215064
Masih,Golaro Ab Midam,24901869,25219,May 4 2015,21,0.731,0.839,-3.858,0.242,0.0275,0,0.18,0.636,127.992,224444
Amir Tataloo,Dari Be Chi Fekr Mikoni,24894029,27715,May 7 2016,31,0.784,0.691,-6.047,0.0403,0.195,0,0.124,0.655,127.473,207020
